ID,Mom,MomParasite,Mpara,MomPXClone,CloneXMomP,Mom Status,Parasite,Clone,INF,c1size,C1,C1 date,C1day,C2,C2 date,C2day,C3,C3 date,C3day,deathdate,deathday,censor ,notes
101,m23,None,Absent,NoneSTD,STDNone,unex,None,STD,No,1511.62,8,13-May,8,10,16-May,11,11,18-May,13,,34,0,
102,m3,None,Absent,NoneSTD,STDNone,unex,None,STD,No,1479.85,5,13-May,8,7,16-May,11,12,18-May,13,,34,0,
103,m7,None,Absent,NoneSTD,STDNone,unex,None,STD,No,1497.23,5,13-May,8,9,16-May,11,15,18-May,13,,34,0,
104,m9,None,Absent,NoneSTD,STDNone,unex,None,STD,No,1427.22,6,13-May,8,5,16-May,11,13,18-May,13,2-Jun,28,0,
105,m1,None,Absent,NoneSTD,STDNone,unex,None,STD,No,1503.26,3,14-May,9,8,16-May,11,11,18-May,13,,34,0,
106,m6,None,Absent,NoneSTD,STDNone,unex,None,STD,No,,2,12-May,7,,,,,,,12-May,7,1,"no picture taken, animal was dead on day of 1st clutch"
107,m19,None,Absent,NoneSTD,STDNone,unex,None,STD,No,1507.77,4,14-May,9,7,16-May,11,13,18-May,13,22-May,17,1,
108,m18,None,Absent,NoneSTD,STDNone,unex,None,STD,No,1427.65,3,13-May,8,6,16-May,11,14,18-May,13,4-Jun,30,0,
109,m21,None,Absent,NoneSTD,STDNone,unex,None,STD,No,1607.8,3,16-May,11,,,,,,,16-May,11,0,killed
110,m12,None,Absent,NoneSTD,STDNone,unex,None,STD,No,1453.55,4,14-May,9,10,16-May,11,15,18-May,13,,34,0,
111,m6,None,Absent,NoneBD,BDNone,unex,None,BD,No,,0,,,,,,,,,22-May,17,1,lost 5/22
112,m24,None,Absent,NoneBD,BDNone,unex,None,BD,No,1306.39,6,14-May,9,8,16-May,11,5,19-May,14,23-May,18,1,
113,m15,None,Absent,NoneBD,BDNone,unex,None,BD,No,1522.72,4,13-May,8,9,16-May,11,13,18-May,13,,34,0,
114,m1,None,Absent,NoneBD,BDNone,unex,None,BD,No,1367.3,6,14-May,9,9,16-May,11,9,19-May,14,,34,0,
115,m11,None,Absent,NoneBD,BDNone,unex,None,BD,No,1400.6,6,14-May,9,7,17-May,12,12,19-May,14,,34,0,
116,m16,None,Absent,NoneBD,BDNone,unex,None,BD,No,1247.37,4,15-May,10,4,17-May,12,6,20-May,15,,34,0,3 clutch 3 babies accidentally tossed
117,m17,None,Absent,NoneBD,BDNone,unex,None,BD,No,1253.96,6,14-May,9,4,16-May,11,4,18-May,13,,34,0,
118,m3,None,Absent,NoneBD,BDNone,unex,None,BD,No,1564.65,7,14-May,9,10,16-May,11,8,19-May,14,,34,0,
119,m7,None,Absent,NoneBD,BDNone,unex,None,BD,No,,0,,,,,,,,,15-May,10,1,
120,m12,None,Absent,NoneBD,BDNone,unex,None,BD,No,1408.23,7,14-May,9,5,16-May,11,7,19-May,14,,34,0,
121,m15,None,Absent,NoneDW,DWNone,unex,None,DW,No,1400.06,4,15-May,10,4,17-May,12,9,20-May,15,,34,0,
122,m2,None,Absent,NoneDW,DWNone,unex,None,DW,No,1428.17,4,14-May,9,5,17-May,12,8,19-May,14,,34,0,dumped in trash and recovered
123,m20,None,Absent,NoneDW,DWNone,unex,None,DW,No,1498.48,5,14-May,9,8,17-May,12,12,20-May,15,,34,0,
124,m18,None,Absent,NoneDW,DWNone,unex,None,DW,No,1453.31,4,15-May,10,5,17-May,12,,,,19-May,14,0,missing
125,m24,None,Absent,NoneDW,DWNone,unex,None,DW,No,1535.08,7,14-May,9,7,17-May,12,12,19-May,14,,34,0,
126,m7,None,Absent,NoneDW,DWNone,unex,None,DW,No,1420.26,6,14-May,9,4,17-May,12,1,20-May,15,,34,0,
127,m22,None,Absent,NoneDW,DWNone,unex,None,DW,No,1396.94,4,14-May,9,3,16-May,11,9,18-May,13,,34,0,
128,m20,None,Absent,NoneDW,DWNone,unex,None,DW,No,1363.37,4,16-May,11,9,18-May,13,11,22-May,17,,34,0,
129,m25,None,Absent,NoneDW,DWNone,unex,None,DW,No,1470.16,4,15-May,10,1,18-May,13,,21-May,16,,34,0,
